transcript_10 scaffold_0 6 GL831247.1 17
transcript_10134 scaffold_187 22 GL831164.1 189
transcript_10134 scaffold_187 22 GL831164.1 196
transcript_10134 scaffold_187 22 GL831164.1 203
transcript_10134 scaffold_187 22 GL831164.1 250
transcript_10134 scaffold_187 22 GL831149.1 28
transcript_10134 scaffold_187 22 GL831164.1 362
transcript_10134 scaffold_187 22 GL831164.1 364
transcript_10134 scaffold_187 22 GL831164.1 390
transcript_10134 scaffold_187 22 GL831164.1 396
transcript_10134 scaffold_187 22 GL831149.1 43
transcript_10134 scaffold_187 22 GL831196.1 77
transcript_10134 scaffold_187 22 GL831196.1 82
transcript_10135 scaffold_187 23 GL831147.1 111
transcript_10135 scaffold_187 23 GL831159.1 115
transcript_10135 scaffold_187 23 GL831149.1 156
transcript_10135 scaffold_187 23 GL831149.1 159
transcript_10135 scaffold_187 23 GL831220.1 172
transcript_10135 scaffold_187 23 GL831159.1 173
transcript_10135 scaffold_187 23 GL831159.1 207
transcript_10135 scaffold_187 23 GL831149.1 217
transcript_10135 scaffold_187 23 GL831149.1 265
transcript_10135 scaffold_187 23 GL831147.1 330
transcript_10135 scaffold_187 23 GL831220.1 335
transcript_10135 scaffold_187 23 GL831220.1 36
transcript_10135 scaffold_187 23 GL831149.1 474
transcript_10135 scaffold_187 23 GL831147.1 483
transcript_10135 scaffold_187 23 GL831447.1 7
transcript_10135 scaffold_187 23 GL831159.1 83
transcript_10138 scaffold_187 24 GL831167.1 106
transcript_10138 scaffold_187 24 GL831149.1 120
transcript_10138 scaffold_187 24 GL831149.1 127
transcript_10138 scaffold_187 24 GL831149.1 142
transcript_10138 scaffold_187 24 GL831149.1 153
transcript_10138 scaffold_187 24 GL831149.1 157
transcript_10138 scaffold_187 24 GL831149.1 170
transcript_10138 scaffold_187 24 GL831149.1 18
transcript_10138 scaffold_187 24 GL831149.1 23
transcript_10138 scaffold_187 24 GL831564.1 3
transcript_10138 scaffold_187 24 GL831149.1 36
transcript_10138 scaffold_187 24 GL831536.1 5
transcript_10138 scaffold_187 24 GL831200.1 538
transcript_10138 scaffold_187 24 GL831149.1 6
transcript_10139 scaffold_187 25 GL831149.1 160
transcript_10140 scaffold_187 26 GL831149.1 161
transcript_10141 scaffold_187 27 GL831149.1 162
transcript_10142 scaffold_187 28 GL831149.1 163
transcript_10142 scaffold_187 28 GL831134.1 186
transcript_10143 scaffold_187 29 GL831149.1 172
transcript_10145 scaffold_187 30 GL831149.1 173
transcript_10146 scaffold_187 31 GL831149.1 174
transcript_10147 scaffold_187 32 GL831138.1 101
transcript_10147 scaffold_187 32 GL831149.1 175
transcript_10148 scaffold_187 33 GL831149.1 176
transcript_10149 scaffold_187 34 GL831149.1 177
transcript_10150 scaffold_187 35 GL831149.1 178
transcript_10151 scaffold_187 36 GL831149.1 179
transcript_10152 scaffold_187 37 GL831149.1 180
transcript_10153 scaffold_187 38 GL831149.1 181
transcript_10153 scaffold_187 38 GL831149.1 185
transcript_10153 scaffold_187 38 GL831149.1 187
transcript_10154 scaffold_187 39 GL831149.1 188
transcript_10155 scaffold_187 40 GL831144.1 143
transcript_10155 scaffold_187 40 GL831149.1 190
transcript_10155 scaffold_187 40 GL831181.1 289
transcript_10155 scaffold_187 40 GL831203.1 335
transcript_10155 scaffold_187 40 GL831203.1 404
transcript_10155 scaffold_187 40 GL831203.1 463
transcript_10155 scaffold_187 40 GL831181.1 515
transcript_10156 scaffold_187 41 GL831141.1 185
transcript_10156 scaffold_187 41 GL831149.1 191
transcript_10156 scaffold_187 41 GL831151.1 319
transcript_10156 scaffold_187 41 GL831145.1 333
transcript_10156 scaffold_187 41 GL831141.1 42
transcript_10157 scaffold_187 42 GL831148.1 348
transcript_10157 scaffold_187 42 GL831339.1 41
transcript_10157 scaffold_187 42 GL831146.1 411
transcript_10157 scaffold_187 42 GL831199.1 7
transcript_10157 scaffold_187 42 GL831191.1 72
transcript_10158 scaffold_187 43 GL831311.1 23
transcript_10158 scaffold_187 43 GL831277.1 34
transcript_10158 scaffold_187 43 GL831273.1 37
transcript_10158 scaffold_187 43 GL831162.1 370
transcript_10158 scaffold_187 43 GL831276.1 97
transcript_10159 scaffold_187 44 GL831187.1 145
transcript_10159 scaffold_187 44 GL831149.1 192
transcript_10159 scaffold_187 44 GL831148.1 320
transcript_10159 scaffold_187 44 GL831148.1 322
transcript_1016 scaffold_101 0 GL831149.1 208
transcript_10160 scaffold_187 45 GL831149.1 193
transcript_10161 scaffold_187 46 GL831149.1 194
transcript_10161 scaffold_187 46 GL831275.1 78
transcript_10163 scaffold_187 47 GL831149.1 195
transcript_10165 scaffold_187 48 GL831149.1 196
transcript_10166 scaffold_187 49 GL831149.1 197
transcript_10167 scaffold_187 50 GL831149.1 198
transcript_10168 scaffold_187 51 GL831149.1 199
transcript_10169 scaffold_187 52 GL831149.1 200
transcript_1017 scaffold_101 1 GL831170.1 164
transcript_1017 scaffold_101 1 GL831159.1 17
transcript_1017 scaffold_101 1 GL831149.1 209
transcript_1017 scaffold_101 1 GL831177.1 66
transcript_1017 scaffold_101 1 GL831177.1 70
transcript_10170 scaffold_187 53 GL831149.1 201
transcript_10171 scaffold_187 54 GL831149.1 202
transcript_10172 scaffold_187 55 GL831149.1 203
transcript_10175 scaffold_187 56 GL831149.1 204
transcript_10176 scaffold_187 57 GL831149.1 205
transcript_10177 scaffold_187 58 GL831149.1 206
transcript_10180 scaffold_187 59 GL831149.1 207
transcript_10182 scaffold_1871 0 GL831249.1 26
transcript_10184 scaffold_1872 0 GL831668.1 1
transcript_10184 scaffold_1872 0 GL832167.1 1
transcript_10184 scaffold_1872 0 GL831371.1 41
transcript_10184 scaffold_1872 0 GL831371.1 43
transcript_10184 scaffold_1872 0 GL831371.1 45
transcript_10184 scaffold_1872 0 GL831371.1 47
transcript_10184 scaffold_1872 0 GL831371.1 49
transcript_10184 scaffold_1872 0 GL831269.1 53
transcript_10184 scaffold_1872 0 GL831269.1 55
transcript_1019 scaffold_101 2 GL831149.1 210
transcript_1019 scaffold_101 2 GL831148.1 309
transcript_10190 scaffold_1881 0 GL831338.1 12
transcript_10190 scaffold_1881 0 GL831254.1 51
transcript_10191 scaffold_1884 0 GL831264.1 38
transcript_10195 scaffold_189 0 GL831253.1 126
transcript_10195 scaffold_189 0 GL831329.1 48
transcript_10195 scaffold_189 0 GL831329.1 51
transcript_10197 scaffold_189 1 GL831329.1 50
transcript_10198 scaffold_189 2 GL831329.1 46
transcript_102 scaffold_0 66 GL831145.1 494
transcript_1020 scaffold_101 3 GL831149.1 211
transcript_1020 scaffold_101 3 GL831148.1 303
transcript_1020 scaffold_101 3 GL831148.1 305
transcript_10200 scaffold_189 3 GL831329.1 45
transcript_10201 scaffold_189 4 GL831329.1 44
transcript_10202 scaffold_189 5 GL831329.1 43
transcript_10204 scaffold_189 6 GL831329.1 42
transcript_10205 scaffold_189 7 GL831329.1 40
transcript_10206 scaffold_189 8 GL831329.1 39
transcript_1021 scaffold_101 4 GL831149.1 212
transcript_10210 scaffold_189 9 GL831329.1 38
transcript_10211 scaffold_189 10 GL831329.1 37
transcript_10212 scaffold_189 11 GL831329.1 36
transcript_10212 scaffold_189 11 GL831341.1 55
transcript_10212 scaffold_189 11 GL831208.1 61
transcript_10212 scaffold_189 11 GL831139.1 610
transcript_10214 scaffold_189 12 GL831329.1 35
transcript_10215 scaffold_189 13 GL831329.1 34
transcript_10216 scaffold_189 14 GL831329.1 33
transcript_10217 scaffold_189 15 GL831329.1 32
transcript_10218 scaffold_189 16 GL831329.1 31
transcript_10220 scaffold_189 17 GL831329.1 27
transcript_10221 scaffold_189 18 GL831329.1 26
transcript_10222 scaffold_189 19 GL831329.1 25
transcript_10223 scaffold_189 20 GL831329.1 24
transcript_10225 scaffold_189 21 GL831329.1 23
transcript_10226 scaffold_189 22 GL831329.1 22
transcript_10227 scaffold_189 23 GL831329.1 21
transcript_10228 scaffold_189 24 GL831329.1 20
transcript_10229 scaffold_189 25 GL831329.1 19
transcript_10230 scaffold_189 26 GL831329.1 18
transcript_10232 scaffold_189 27 GL831329.1 17
transcript_10233 scaffold_189 28 GL831329.1 15
transcript_10234 scaffold_189 29 GL831397.1 1
transcript_10234 scaffold_189 29 GL831263.1 3
transcript_10234 scaffold_189 29 GL831266.1 38
transcript_10234 scaffold_189 29 GL831697.1 4
transcript_10234 scaffold_189 29 GL831138.1 957
transcript_10236 scaffold_189 30 GL831329.1 13
transcript_10237 scaffold_189 31 GL831329.1 10
transcript_10237 scaffold_189 31 GL831329.1 12
transcript_10237 scaffold_189 31 GL831167.1 176
transcript_10237 scaffold_189 31 GL831303.1 6
transcript_10237 scaffold_189 31 GL831167.1 89
transcript_10240 scaffold_1891 0 GL831217.1 121
transcript_10240 scaffold_1891 0 GL831136.1 154
transcript_10240 scaffold_1891 0 GL831136.1 156
transcript_10243 scaffold_1898 0 GL831559.1 0
transcript_10243 scaffold_1898 0 GL831940.1 0
transcript_10243 scaffold_1898 0 GL831171.1 123
transcript_10243 scaffold_1898 0 GL831704.1 3
transcript_10245 scaffold_19 0 GL831196.1 240
transcript_10247 scaffold_19 1 GL831196.1 239
transcript_10248 scaffold_19 2 GL831196.1 238
transcript_10249 scaffold_19 3 GL831159.1 176
transcript_10249 scaffold_19 3 GL831166.1 180
transcript_10249 scaffold_19 3 GL831173.1 210
transcript_10249 scaffold_19 3 GL831188.1 212
transcript_10249 scaffold_19 3 GL831196.1 237
transcript_10250 scaffold_19 4 GL831196.1 235
transcript_10251 scaffold_19 5 GL831146.1 146
transcript_10251 scaffold_19 5 GL831146.1 164
transcript_10251 scaffold_19 5 GL831152.1 228
transcript_10251 scaffold_19 5 GL831196.1 230
transcript_10251 scaffold_19 5 GL831196.1 233
transcript_10251 scaffold_19 5 GL831152.1 237
transcript_10251 scaffold_19 5 GL831152.1 240
transcript_10251 scaffold_19 5 GL831152.1 243
transcript_10251 scaffold_19 5 GL831146.1 350
transcript_10251 scaffold_19 5 GL831253.1 90
transcript_10251 scaffold_19 5 GL831177.1 97
transcript_10252 scaffold_19 6 GL831196.1 227
transcript_10252 scaffold_19 6 GL831196.1 229
transcript_10253 scaffold_19 7 GL831196.1 225
transcript_10253 scaffold_19 7 GL831268.1 75
transcript_10254 scaffold_19 8 GL831196.1 224
transcript_10255 scaffold_19 9 GL831196.1 223
transcript_10255 scaffold_19 9 GL831166.1 6
transcript_10256 scaffold_19 10 GL831196.1 219
transcript_10258 scaffold_19 11 GL831196.1 216
transcript_10259 scaffold_19 12 GL831227.1 108
transcript_10259 scaffold_19 12 GL831196.1 215
transcript_1026 scaffold_101 5 GL831149.1 213
transcript_10260 scaffold_19 13 GL831196.1 214
transcript_10261 scaffold_19 14 GL831196.1 213
transcript_10264 scaffold_19 15 GL831196.1 212
transcript_10266 scaffold_19 16 GL831196.1 211
transcript_10268 scaffold_19 17 GL831196.1 210
transcript_10269 scaffold_19 18 GL831196.1 205
transcript_10269 scaffold_19 18 GL831196.1 209
transcript_10269 scaffold_19 18 GL831200.1 359
transcript_10269 scaffold_19 18 GL831202.1 38
transcript_10269 scaffold_19 18 GL831202.1 52
transcript_10270 scaffold_19 19 GL831196.1 204
transcript_10271 scaffold_19 20 GL831292.1 129
transcript_10271 scaffold_19 20 GL831196.1 199
transcript_10271 scaffold_19 20 GL831196.1 203
transcript_10271 scaffold_19 20 GL831200.1 352
transcript_10272 scaffold_19 21 GL831196.1 198
transcript_10273 scaffold_19 22 GL831196.1 197
transcript_10274 scaffold_19 23 GL831196.1 196
transcript_10278 scaffold_19 24 GL831196.1 195
transcript_10279 scaffold_19 25 GL831196.1 194
transcript_10280 scaffold_19 26 GL831196.1 193
transcript_10280 scaffold_19 26 GL831200.1 343
transcript_10281 scaffold_19 27 GL831196.1 192
transcript_10282 scaffold_19 28 GL831196.1 191
transcript_10283 scaffold_19 29 GL831196.1 190
transcript_10285 scaffold_19 30 GL831196.1 189
transcript_10286 scaffold_19 31 GL831196.1 188
transcript_10287 scaffold_19 32 GL831196.1 187
transcript_10288 scaffold_19 33 GL831196.1 186
transcript_10289 scaffold_19 34 GL831196.1 185
transcript_10290 scaffold_19 35 GL831196.1 184
transcript_10291 scaffold_19 36 GL831196.1 181
transcript_10291 scaffold_19 36 GL831196.1 183
transcript_10291 scaffold_19 36 GL831146.1 290
transcript_10291 scaffold_19 36 GL831220.1 3
transcript_10292 scaffold_19 37 GL831196.1 178
transcript_10293 scaffold_19 38 GL831196.1 175
transcript_10293 scaffold_19 38 GL831196.1 177
transcript_10293 scaffold_19 38 GL831146.1 286
transcript_10294 scaffold_19 39 GL831196.1 174
transcript_10295 scaffold_19 40 GL831196.1 173
transcript_10296 scaffold_19 41 GL831196.1 169
transcript_10296 scaffold_19 41 GL831196.1 172
transcript_10296 scaffold_19 41 GL831153.1 264
transcript_10296 scaffold_19 41 GL831146.1 283
transcript_10296 scaffold_19 41 GL831146.1 285
transcript_10296 scaffold_19 41 GL831250.1 37
transcript_10297 scaffold_19 42 GL831196.1 168
transcript_10299 scaffold_19 43 AERX01076708.1 1
transcript_10299 scaffold_19 43 GL831196.1 159
transcript_10299 scaffold_19 43 GL831196.1 161
transcript_10299 scaffold_19 43 GL831196.1 163
transcript_10299 scaffold_19 43 GL831146.1 274
transcript_10299 scaffold_19 43 GL831146.1 276
transcript_10300 scaffold_19 44 GL831196.1 158
transcript_10301 scaffold_19 45 GL831196.1 157
transcript_10302 scaffold_19 46 GL831196.1 156
transcript_10302 scaffold_19 46 GL831149.1 269
transcript_10304 scaffold_19 47 GL831196.1 155
transcript_10305 scaffold_19 48 GL831196.1 154
transcript_10307 scaffold_19 49 GL831196.1 153
transcript_10307 scaffold_19 49 GL831146.1 183
transcript_10308 scaffold_19 50 GL831196.1 152
transcript_10309 scaffold_19 51 GL831196.1 151
transcript_10310 scaffold_19 52 GL831196.1 150
transcript_10311 scaffold_19 53 GL831196.1 149
transcript_10311 scaffold_19 53 GL831146.1 190
transcript_10311 scaffold_19 53 GL831200.1 67
transcript_10312 scaffold_19 54 GL831196.1 147
transcript_10313 scaffold_19 55 GL831196.1 146
transcript_10314 scaffold_19 56 GL831196.1 145
transcript_10315 scaffold_19 57 GL831196.1 144
transcript_10316 scaffold_19 58 GL831163.1 105
transcript_10316 scaffold_19 58 GL831196.1 143
transcript_10316 scaffold_19 58 GL831227.1 204
transcript_10316 scaffold_19 58 GL831146.1 399
transcript_10316 scaffold_19 58 GL831285.1 73
transcript_10318 scaffold_19 59 GL831196.1 142
transcript_10319 scaffold_19 60 GL831196.1 141
transcript_10324 scaffold_19 61 GL831196.1 140
transcript_10325 scaffold_19 62 GL831196.1 139
transcript_10326 scaffold_19 63 GL831196.1 138
transcript_10328 scaffold_19 64 GL831383.1 11
transcript_10328 scaffold_19 64 GL831196.1 137
transcript_10330 scaffold_19 65 GL831196.1 136
transcript_10330 scaffold_19 65 GL831153.1 317
transcript_10331 scaffold_19 66 GL831196.1 135
transcript_10332 scaffold_19 67 GL831196.1 134
transcript_10334 scaffold_19 68 GL831196.1 133
transcript_10334 scaffold_19 68 GL831159.1 317
transcript_10335 scaffold_19 69 GL831196.1 132
transcript_10336 scaffold_19 70 GL831196.1 131
transcript_10338 scaffold_19 71 GL831303.1 114
transcript_10338 scaffold_19 71 GL831153.1 156
transcript_10338 scaffold_19 71 GL831337.1 163
transcript_10338 scaffold_19 71 GL831153.1 204
transcript_10338 scaffold_19 71 GL831162.1 214
transcript_10338 scaffold_19 71 GL831162.1 222
transcript_10338 scaffold_19 71 GL831393.1 83
transcript_10339 scaffold_19 72 GL831196.1 127
transcript_1034 scaffold_101 6 GL831149.1 214
transcript_10340 scaffold_19 73 GL831196.1 126
transcript_10341 scaffold_19 74 GL831196.1 124
transcript_10344 scaffold_19 75 GL831196.1 123
transcript_10345 scaffold_19 76 GL831196.1 120
transcript_10345 scaffold_19 76 GL831196.1 122
transcript_10346 scaffold_19 77 GL831196.1 115
transcript_10346 scaffold_19 77 GL831196.1 117
transcript_10346 scaffold_19 77 GL831196.1 119
transcript_10346 scaffold_19 77 GL831146.1 220
transcript_10347 scaffold_19 78 GL831237.1 22
transcript_10348 scaffold_19 79 GL831196.1 110
transcript_10348 scaffold_19 79 GL831196.1 114
transcript_10348 scaffold_19 79 GL831167.1 156
transcript_10349 scaffold_19 80 GL831196.1 109
transcript_1035 scaffold_101 7 GL831149.1 215
transcript_10350 scaffold_19 81 GL831196.1 108
transcript_10356 scaffold_19 82 GL831196.1 107
transcript_10357 scaffold_19 83 GL831196.1 106
transcript_10358 scaffold_19 84 GL831196.1 102
transcript_10358 scaffold_19 84 GL831196.1 105
transcript_10358 scaffold_19 84 GL831623.1 3
transcript_10358 scaffold_19 84 GL831151.1 31
transcript_10359 scaffold_19 85 GL831196.1 100
transcript_1036 scaffold_101 8 GL831149.1 216
transcript_10360 scaffold_19 86 GL831196.1 99
transcript_10361 scaffold_19 87 GL831196.1 98
transcript_10365 scaffold_19 88 GL831196.1 95
transcript_10367 scaffold_19 89 GL831196.1 94
transcript_10368 scaffold_19 90 GL831205.1 9
transcript_10368 scaffold_19 90 GL831196.1 93
transcript_10369 scaffold_19 91 GL831196.1 92
transcript_1037 scaffold_101 9 GL831149.1 219
transcript_10370 scaffold_19 92 GL831155.1 114
transcript_10370 scaffold_19 92 GL831157.1 2
transcript_10370 scaffold_19 92 GL831139.1 259
transcript_10370 scaffold_19 92 GL831355.1 38
transcript_10370 scaffold_19 92 GL831169.1 59
transcript_10371 scaffold_19 93 GL831196.1 91
transcript_10372 scaffold_19 94 GL831196.1 90
transcript_10373 scaffold_19 95 GL831196.1 89
transcript_10374 scaffold_19 96 GL831137.1 451
transcript_10374 scaffold_19 96 GL831137.1 454
transcript_10374 scaffold_19 96 GL831297.1 73
transcript_10374 scaffold_19 96 GL831297.1 75
transcript_10374 scaffold_19 96 GL831196.1 86
transcript_10374 scaffold_19 96 GL831196.1 88
transcript_10375 scaffold_19 97 GL831196.1 84
transcript_10377 scaffold_19 98 GL831196.1 80
transcript_10378 scaffold_19 99 GL831196.1 76
transcript_10379 scaffold_19 100 GL831196.1 75
transcript_10380 scaffold_19 101 GL831196.1 74
transcript_10383 scaffold_19 102 GL831196.1 73
transcript_10384 scaffold_19 103 GL831196.1 72
transcript_10385 scaffold_19 104 GL831196.1 71
transcript_10386 scaffold_19 105 GL831137.1 480
transcript_10386 scaffold_19 105 GL831196.1 70
transcript_10387 scaffold_19 106 GL831196.1 69
transcript_10388 scaffold_19 107 GL831196.1 68
transcript_1039 scaffold_101 10 GL831149.1 220
transcript_10391 scaffold_19 108 GL831196.1 67
transcript_10392 scaffold_19 109 GL831196.1 65
transcript_10393 scaffold_19 110 GL831144.1 13
transcript_10393 scaffold_19 110 GL831187.1 214
transcript_10393 scaffold_19 110 GL831187.1 218
transcript_10393 scaffold_19 110 GL831146.1 236
transcript_10393 scaffold_19 110 GL831146.1 238
transcript_10393 scaffold_19 110 GL831146.1 241
transcript_10393 scaffold_19 110 GL831146.1 243
transcript_10393 scaffold_19 110 GL831146.1 246
transcript_10393 scaffold_19 110 GL831146.1 248
transcript_10393 scaffold_19 110 GL831196.1 49
